prompt_token_count,system_prompt_length,temperature,is_few_shot,response_quality_score
1314,1514,0.0,1,11.05
791,1659,0.4,1,8.87
1540,2838,1.4,1,13.34
1805,1779,0.0,1,15.0
1743,2080,0.6,0,9.57
1854,3922,1.4,1,14.43
814,1882,0.0,1,9.72
1372,3339,1.1,0,9.72
893,2494,1.3,0,5.23
569,3212,0.5,0,5.94
554,2536,0.8,1,8.3
1962,3822,0.1,1,15.0
1004,2421,1.0,0,6.47
1504,2532,0.1,1,14.83
913,1137,1.1,1,8.46
844,1427,0.2,1,9.26
1672,2500,1.2,0,8.12
1941,1152,0.6,0,9.48
1142,3493,0.6,1,11.59
904,3590,1.1,1,12.28